tick,death_rate,cdi,hazard_rate,extinction_probability,extinction_events
342,0.000000,0.000015,0.004000,0.003992,0
343,0.000000,0.000014,0.004000,0.003992,0
344,0.000000,0.000014,0.004000,0.003992,0
345,0.000000,0.000014,0.004000,0.003992,0
346,0.000333,0.000014,0.004000,0.003992,0
347,0.000000,0.000026,0.003999,0.003991,0
348,0.000000,0.000027,0.003999,0.003991,0
349,0.000000,0.000014,0.004000,0.003992,0
350,0.000000,0.000013,0.004000,0.003992,0
351,0.000000,0.000013,0.004000,0.003992,0
352,0.000333,0.000029,0.003999,0.003991,0
353,0.000000,0.000028,0.003999,0.003991,0
354,0.000000,0.000013,0.004000,0.003992,0
355,0.000000,0.000013,0.004000,0.003992,0
356,0.000333,0.000014,0.004000,0.003992,0
357,0.000000,0.000029,0.003999,0.003991,0
358,0.000333,0.000014,0.004000,0.003992,0
359,0.000000,0.000028,0.003999,0.003991,0
360,0.000000,0.000027,0.003999,0.003991,0
361,0.000000,0.000014,0.004000,0.003992,0
362,0.000000,0.000013,0.004000,0.003992,0
363,0.000000,0.000000,0.004000,0.003992,0
364,0.000333,0.000014,0.004000,0.003992,0
365,0.000666,0.000013,0.004000,0.003992,0
366,0.000000,0.000012,0.004000,0.003992,0
367,0.000000,0.000013,0.004000,0.003992,0
368,0.000000,0.000012,0.004000,0.003992,0
369,0.000333,0.000013,0.004000,0.003992,0
370,0.000000,0.000012,0.004000,0.003992,0
371,0.000000,0.000011,0.004000,0.003992,0
372,0.000000,0.000025,0.004000,0.003992,0
373,0.000000,0.000024,0.004000,0.003992,0
374,0.000333,0.000025,0.004000,0.003992,0
375,0.000333,0.000025,0.003999,0.003992,0
376,0.000333,0.000012,0.004000,0.003992,0
377,0.000000,0.000023,0.004000,0.003992,0
378,0.000000,0.000011,0.004000,0.003992,0
379,0.000333,0.000012,0.004000,0.003992,0
380,0.000000,0.000011,0.004000,0.003992,0
381,0.000000,0.000012,0.004000,0.003992,0
382,0.000000,0.000012,0.004000,0.003992,0
383,0.000000,0.000012,0.004000,0.003992,0
384,0.000000,0.000012,0.004000,0.003992,0
385,0.000000,0.000000,0.004000,0.003992,0
386,0.000000,0.000012,0.004000,0.003992,0
387,0.000000,0.000012,0.004000,0.003992,0
388,0.000333,0.000011,0.004000,0.003992,0
389,0.000000,0.000011,0.004000,0.003992,0
390,0.000000,0.000011,0.004000,0.003992,0
391,0.000000,0.000010,0.004000,0.003992,0
392,0.000000,0.000011,0.004000,0.003992,0
393,0.000000,0.000012,0.004000,0.003992,0
