tick,mutation_count,dna_variance
688,50,0.107292
689,70,0.107393
690,50,0.107354
691,75,0.107368
692,71,0.107264
693,87,0.107326
694,87,0.107352
695,62,0.107422
696,58,0.107462
697,75,0.107504
698,68,0.107438
699,56,0.107434
700,61,0.107431
701,56,0.107526
702,56,0.107533
703,53,0.107494
704,72,0.107435
705,67,0.107460
706,69,0.107392
707,58,0.107387
708,72,0.107369
709,63,0.107331
710,59,0.107349
711,62,0.107400
712,59,0.107387
713,90,0.107350
714,78,0.107392
715,66,0.107436
716,57,0.107436
717,59,0.107446
718,45,0.107394
719,62,0.107455
720,64,0.107512
721,67,0.107447
722,70,0.107476
723,62,0.107437
724,72,0.107435
725,54,0.107453
726,79,0.107527
727,80,0.107521
728,79,0.107470
729,73,0.107488
730,63,0.107549
731,67,0.107519
732,85,0.107579
733,77,0.107619
734,73,0.107653
735,84,0.107616
736,88,0.107554
737,88,0.107521
738,53,0.107543
739,72,0.107491
740,95,0.107425
741,79,0.107393
742,74,0.107383
743,98,0.107403
744,73,0.107335
745,86,0.107366
746,71,0.107409
747,87,0.107495
748,86,0.107553
749,89,0.107575
750,60,0.107559
751,88,0.107561
752,65,0.107506
753,97,0.107451
754,61,0.107446
755,60,0.107416
756,79,0.107411
757,79,0.107462
758,58,0.107499
759,63,0.107494
760,88,0.107409
761,74,0.107397
762,59,0.107352
763,69,0.107365
764,70,0.107410
765,56,0.107363
766,68,0.107373
767,72,0.107405
768,60,0.107425
769,64,0.107463
770,56,0.107490
771,57,0.107565
772,66,0.107592
773,72,0.107553
774,83,0.107528
775,48,0.107589
776,75,0.107621
777,82,0.107571
778,81,0.107585
779,69,0.107643
780,75,0.107616
781,50,0.107590
782,69,0.107554
783,71,0.107498
784,58,0.107492
785,60,0.107530
786,54,0.107575
787,64,0.107558
788,60,0.107600
789,49,0.107600
790,50,0.107564
791,63,0.107593
792,72,0.107573
793,59,0.107588
794,59,0.107601
795,78,0.107594
796,49,0.107601
797,56,0.107580
798,55,0.107649
799,60,0.107617
800,52,0.107686
801,66,0.107685
802,76,0.107689
803,70,0.107702
804,68,0.107720
805,59,0.107701
806,61,0.107701
807,71,0.107726
808,63,0.107725
809,52,0.107722
810,76,0.107676
811,60,0.107690
812,57,0.107749
813,69,0.107799
814,40,0.107854
815,40,0.107846
816,74,0.107816
817,65,0.107870
818,58,0.107852
819,78,0.107907
820,72,0.107869
821,43,0.107858
822,56,0.107853
823,75,0.107838
824,72,0.107873
825,73,0.107863
826,65,0.107887
827,86,0.107883
828,48,0.107911
829,84,0.107975
830,42,0.107943
831,64,0.107905
832,86,0.107935
833,61,0.107930
834,72,0.107849
835,67,0.107979
836,51,0.108007
837,71,0.107994
838,68,0.107942
839,57,0.107914
840,80,0.107927
841,76,0.107879
842,50,0.107834
843,71,0.107818
844,77,0.107836
845,60,0.107869
846,69,0.107854
847,65,0.107808
848,59,0.107776
849,78,0.107689
850,69,0.107710
851,77,0.107771
852,52,0.107757
853,52,0.107772
854,74,0.107785
855,82,0.107783
856,101,0.107708
857,63,0.107759
858,72,0.107740
859,80,0.107696
860,69,0.107627
861,87,0.107621
862,57,0.107576
863,75,0.107520
864,57,0.107517
865,61,0.107486
866,69,0.107453
867,64,0.107457
868,82,0.107536
869,65,0.107490
870,58,0.107435
871,87,0.107482
872,54,0.107393
